stroke,frame,x,y
back,0,0.0,0.0
back,0,0.0,0.0
back,0,0.0,0.0
back,0,0.0,0.0
back,0,0.0,0.0
back,0,43.14404296875,511.53125
back,0,38.71352005004883,507.2703552246094
back,0,0.0,0.0
back,0,0.0,0.0
back,0,0.0,0.0
back,0,0.0,0.0
back,0,123.72428894042969,506.47747802734375
back,0,115.38192749023438,512.357421875
back,0,238.58482360839844,513.8660888671875
back,0,238.05743408203125,508.78143310546875
back,0,363.1101379394531,504.6378479003906
back,0,371.49688720703125,506.79534912109375
back,2,0.0,0.0
back,2,0.0,0.0
back,2,0.0,0.0
back,2,0.0,0.0
back,2,0.0,0.0
back,2,267.77569580078125,498.7406005859375
back,2,253.3531951904297,495.2015380859375
back,2,0.0,0.0
back,2,342.34881591796875,538.2175903320312
back,2,0.0,0.0
back,2,394.0655822753906,512.9354858398438
back,2,136.08221435546875,515.2418212890625
back,2,122.06912231445312,505.46441650390625
back,2,0.0,0.0
back,2,0.0,0.0
back,2,0.0,0.0
back,2,0.0,0.0
back,4,0.0,0.0
back,4,0.0,0.0
back,4,0.0,0.0
back,4,0.0,0.0
back,4,290.0517578125,489.080810546875
back,4,253.127197265625,492.592529296875
back,4,265.53521728515625,511.2845764160156
back,4,0.0,0.0
back,4,356.1790771484375,552.7733154296875
back,4,0.0,0.0
back,4,0.0,0.0
back,4,122.52257537841797,507.8450927734375
back,4,127.1908950805664,508.46929931640625
back,4,0.0,0.0
back,4,0.0,0.0
back,4,0.0,0.0
back,4,0.0,0.0
back,6,314.979736328125,506.01416015625
back,6,324.5025329589844,505.21685791015625
back,6,0.0,0.0
back,6,320.8766784667969,515.783203125
back,6,0.0,0.0
back,6,290.72271728515625,527.5599975585938
back,6,275.4034423828125,514.2412109375
back,6,337.00579833984375,557.6021118164062
back,6,0.0,0.0
back,6,334.4112548828125,540.2127685546875
back,6,0.0,0.0
back,6,151.01382446289062,525.1151123046875
back,6,140.9332275390625,510.40283203125
back,6,0.0,0.0
back,6,0.0,0.0
back,6,0.0,0.0
back,6,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,0.0,0.0
back,16,1066.665283203125,54.37077713012695
back,16,1063.701171875,53.93312072753906
back,16,1071.1231689453125,112.74592590332031
back,16,1075.32763671875,110.02593994140625
back,16,1008.5341796875,172.68951416015625
back,16,1006.279541015625,170.1338653564453
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,0.0,0.0
back,18,1232.605712890625,20.3770751953125
back,18,1026.9130859375,37.46466064453125
back,24,0.0,0.0
back,24,0.0,0.0
back,24,0.0,0.0
back,24,0.0,0.0
back,24,0.0,0.0
back,24,422.8956298828125,520.7222290039062
back,24,409.96533203125,508.10772705078125
back,24,512.6640014648438,518.2547607421875
back,24,444.47222900390625,502.89678955078125
back,24,0.0,0.0
back,24,0.0,0.0
back,24,520.7106323242188,497.88079833984375
back,24,518.4273681640625,498.2736511230469
back,24,584.2393798828125,514.5198974609375
back,24,581.449462890625,505.53668212890625
back,24,683.294189453125,519.4097900390625
back,24,687.4134521484375,519.2448120117188
back,32,705.8735961914062,502.211181640625
back,32,0.0,0.0
back,32,705.964599609375,496.3803405761719
back,32,0.0,0.0
back,32,684.9699096679688,489.89520263671875
back,32,661.1539306640625,525.36328125
back,32,636.2664794921875,492.4163818359375
back,32,650.0248413085938,561.577392578125
back,32,567.490234375,505.22821044921875
back,32,659.7412109375,578.604736328125
back,32,541.360595703125,534.5389404296875
back,32,467.2843017578125,528.4368896484375
back,32,454.71673583984375,501.94207763671875
back,32,348.92138671875,548.0174560546875
back,32,351.10430908203125,538.537841796875
back,32,258.4119873046875,605.931884765625
back,32,257.80535888671875,598.5869140625
back,34,706.5126953125,509.32574462890625
back,34,0.0,0.0
back,34,0.0,0.0
back,34,0.0,0.0
back,34,698.062255859375,499.7308349609375
back,34,677.8568725585938,521.49951171875
back,34,668.703857421875,503.4766845703125
back,34,648.8819580078125,559.23681640625
back,34,615.2999267578125,521.3670654296875
back,34,0.0,0.0
back,34,0.0,0.0
back,34,532.03271484375,523.87158203125
back,34,525.5548095703125,503.7635192871094
back,34,394.3388671875,535.9965209960938
back,34,395.5800476074219,527.5238647460938
back,34,293.97088623046875,585.5609130859375
back,34,293.0561828613281,579.9589233398438
back,40,0.0,0.0
back,40,0.0,0.0
back,40,0.0,0.0
back,40,0.0,0.0
back,40,0.0,0.0
back,40,584.320556640625,522.1087036132812
back,40,0.0,0.0
back,40,0.0,0.0
back,40,0.0,0.0
back,40,0.0,0.0
back,40,0.0,0.0
back,40,602.6595458984375,516.7125244140625
back,40,600.4737548828125,512.59521484375
back,40,458.5853271484375,522.486328125
back,40,454.95196533203125,514.89208984375
back,40,363.25390625,563.056396484375
back,40,366.4140319824219,566.136962890625
back,42,0.0,0.0
back,42,0.0,0.0
back,42,0.0,0.0
back,42,0.0,0.0
back,42,0.0,0.0
back,42,818.91796875,512.6780395507812
back,42,794.1575927734375,517.0078125
back,42,0.0,0.0
back,42,818.7633056640625,521.083251953125
back,42,0.0,0.0
back,42,0.0,0.0
back,42,661.3536376953125,522.6427001953125
back,42,643.899169921875,511.60577392578125
back,42,508.304443359375,507.772705078125
back,42,497.78594970703125,511.33905029296875
back,42,373.76690673828125,517.52392578125
back,42,377.6120300292969,510.1993408203125
back,44,0.0,0.0
back,44,0.0,0.0
back,44,0.0,0.0
back,44,0.0,0.0
back,44,0.0,0.0
back,44,607.5467529296875,514.805419921875
back,44,596.5504150390625,513.4263916015625
back,44,531.1136474609375,501.3609924316406
back,44,0.0,0.0
back,44,0.0,0.0
back,44,0.0,0.0
back,44,689.6547241210938,514.1271362304688
back,44,657.1972045898438,514.43505859375
back,44,795.0247192382812,514.0428466796875
back,44,630.0405883789062,500.8497619628906
back,44,920.5270385742188,514.7655029296875
back,44,618.6532592773438,510.35394287109375
back,46,0.0,0.0
back,46,0.0,0.0
back,46,0.0,0.0
back,46,0.0,0.0
back,46,0.0,0.0
back,46,869.2069091796875,524.7284545898438
back,46,854.7037353515625,512.5062255859375
back,46,0.0,0.0
back,46,901.6439208984375,519.661376953125
back,46,0.0,0.0
back,46,0.0,0.0
back,46,704.56689453125,523.3239135742188
back,46,690.66552734375,506.2429504394531
back,46,585.2030639648438,520.2716064453125
back,46,578.9379272460938,517.6709594726562
back,46,478.35003662109375,518.2622680664062
back,46,477.8502502441406,516.5733032226562
back,48,0.0,0.0
back,48,0.0,0.0
back,48,0.0,0.0
back,48,0.0,0.0
back,48,0.0,0.0
back,48,860.4547119140625,523.705322265625
back,48,846.4202880859375,518.3779296875
back,48,0.0,0.0
back,48,912.4227905273438,552.4876708984375
back,48,0.0,0.0
back,48,986.1295166015625,545.7789306640625
back,48,696.11328125,533.1346435546875
back,48,685.1212768554688,517.388427734375
back,48,550.4864501953125,521.1724853515625
back,48,543.0901489257812,522.7525634765625
back,48,407.2991943359375,524.8080444335938
back,48,408.1798095703125,519.545654296875
back,50,0.0,0.0
back,50,0.0,0.0
back,50,0.0,0.0
back,50,0.0,0.0
back,50,0.0,0.0
back,50,859.2844848632812,512.7647705078125
back,50,856.4620971679688,515.3515625
back,50,0.0,0.0
back,50,922.5391845703125,570.8866577148438
back,50,0.0,0.0
back,50,964.7140502929688,565.022216796875
back,50,701.03369140625,524.0025634765625
back,50,694.046630859375,512.3038330078125
back,50,555.424560546875,531.1635131835938
back,50,554.9288330078125,527.263427734375
back,50,453.9151611328125,524.6222534179688
